======================= Schemathesis test session starts =======================
Schema location: file:///home/runner/work/AquaMind/AquaMind/api/openapi.yaml
Base URL: http://127.0.0.1:8000
Specification version: Open API 3.0.3
POST /api/v1/scenario/tgc-models/ .                                       [ 83%]
GET /api/v1/scenario/tgc-models/templates/ F                              [ 83%]
PUT /api/v1/scenario/tgc-models/{model_id}/ F                             [ 84%]
GET /api/v1/scenario/tgc-models/{model_id}/ F                             [ 84%]
PATCH /api/v1/scenario/tgc-models/{model_id}/ F                           [ 84%]
DELETE /api/v1/scenario/tgc-models/{model_id}/ F                          [ 84%]
POST /api/v1/scenario/tgc-models/{model_id}/duplicate/ F                  [ 85%]
GET /api/v1/scenario/fcr-models/ .                                        [ 85%]
POST /api/v1/scenario/fcr-models/ F                                       [ 85%]
GET /api/v1/scenario/fcr-models/templates/ F                              [ 85%]
PUT /api/v1/scenario/fcr-models/{model_id}/ F                             [ 86%]
GET /api/v1/scenario/fcr-models/{model_id}/ F                             [ 86%]
PATCH /api/v1/scenario/fcr-models/{model_id}/ F                           [ 86%]
DELETE /api/v1/scenario/fcr-models/{model_id}/ F                          [ 86%]
GET /api/v1/scenario/fcr-models/{model_id}/stage_summary/ F               [ 87%]
GET /api/v1/scenario/mortality-models/ F                                  [ 87%]
POST /api/v1/scenario/mortality-models/ F                                 [ 87%]
GET /api/v1/scenario/mortality-models/templates/ F                        [ 88%]
PUT /api/v1/scenario/mortality-models/{model_id}/ F                       [ 88%]
GET /api/v1/scenario/mortality-models/{model_id}/ F                       [ 88%]
PATCH /api/v1/scenario/mortality-models/{model_id}/ F                     [ 88%]
DELETE /api/v1/scenario/mortality-models/{model_id}/ F                    [ 89%]
GET /api/v1/scenario/biological-constraints/ .                            [ 89%]
POST /api/v1/scenario/biological-constraints/ F                           [ 89%]
GET /api/v1/scenario/biological-constraints/active/ F                     [ 89%]
PUT /api/v1/scenario/biological-constraints/{id}/ F                       [ 90%]
GET /api/v1/scenario/biological-constraints/{id}/ F                       [ 90%]
PATCH /api/v1/scenario/biological-constraints/{id}/ F                     [ 90%]
DELETE /api/v1/scenario/biological-constraints/{id}/ F                    [ 90%]
GET /api/v1/scenario/scenarios/ .                                         [ 91%]
POST /api/v1/scenario/scenarios/ .                                        [ 91%]
POST /api/v1/scenario/scenarios/compare/ .                                [ 91%]
POST /api/v1/scenario/scenarios/from_batch/ .                             [ 91%]
GET /api/v1/scenario/scenarios/summary_stats/ F                           [ 92%]
PUT /api/v1/scenario/scenarios/{scenario_id}/ F                           [ 92%]
GET /api/v1/scenario/scenarios/{scenario_id}/ F                           [ 92%]
PATCH /api/v1/scenario/scenarios/{scenario_id}/ F                         [ 92%]
DELETE /api/v1/scenario/scenarios/{scenario_id}/ F                        [ 93%]
GET /api/v1/scenario/scenarios/{scenario_id}/chart_data/ F                [ 93%]
POST /api/v1/scenario/scenarios/{scenario_id}/duplicate/ F                [ 93%]
GET /api/v1/scenario/scenarios/{scenario_id}/export_projections/ F        [ 93%]
GET /api/v1/scenario/scenarios/{scenario_id}/projections/ F               [ 94%]
POST /api/v1/scenario/scenarios/{scenario_id}/run_projection/ F           [ 94%]
POST /api/v1/scenario/scenarios/{scenario_id}/sensitivity_analysis[...] F [ 94%]
GET /api/v1/scenario/data-entry/csv_template/ F                           [ 94%]
GET /api/v1/scenario/data-entry/import_status/ F                          [ 95%]
POST /api/v1/scenario/data-entry/validate_csv/ .                          [ 95%]
POST /api/v1/users/auth/token/ F                                          [ 95%]
POST /api/v1/users/auth/token/refresh/ F                                  [ 95%]
GET /api/v1/users/auth/profile/ F                                         [ 96%]
PUT /api/v1/users/auth/profile/ F                                         [ 96%]
PATCH /api/v1/users/auth/profile/ F                                       [ 96%]
GET /api/v1/users/users/ F                                                [ 96%]
POST /api/v1/users/users/ F                                               [ 97%]
PUT /api/v1/users/users/change_password/ .                                [ 97%]
GET /api/v1/users/users/me/ F                                             [ 97%]
PUT /api/v1/users/users/{id}/ F                                           [ 97%]
GET /api/v1/users/users/{id}/ F                                           [ 98%]
PATCH /api/v1/users/users/{id}/ F                                         [ 98%]
DELETE /api/v1/users/users/{id}/ F                                        [ 98%]
POST /api/token/ F                                                        [ 98%]
POST /api/token/refresh/ F                                                [ 99%]
POST /api/auth/token/ .                                                   [ 99%]
POST /api/auth/jwt/ F                                                     [ 99%]
POST /api/auth/jwt/refresh/ F                                             [100%]

=================================== FAILURES ===================================
__________________ PUT /api/v1/environmental/parameters/{id}/ __________________
1. Test Case ID: 70OUtK

- Undocumented HTTP status code

    Received: 404
    Documented: 200, 400

[404] Not Found:

    `{"detail":"No EnvironmentalParameter matches the given query."}`

Reproduce with: 

    curl -X PUT -H 'Authorization: [Filtered]' -H 'Content-Type: application/json' -d '{"name": "", "unit": ""}' http://127.0.0.1:8000/api/v1/environmental/parameters/0/

__________________ GET /api/v1/environmental/parameters/{id}/ __________________
1. Test Case ID: qs8Pft

- Undocumented HTTP status code

    Received: 404
    Documented: 200

[404] Not Found:

    `{"detail":"No EnvironmentalParameter matches the given query."}`

Reproduce with: 

    curl -X GET -H 'Authorization: [Filtered]' http://127.0.0.1:8000/api/v1/environmental/parameters/0/

_________________ PATCH /api/v1/environmental/parameters/{id}/ _________________
1. Test Case ID: 1lgMnq

- Undocumented HTTP status code

    Received: 404
    Documented: 200, 400

[404] Not Found:

    `{"detail":"No EnvironmentalParameter matches the given query."}`

Reproduce with: 

    curl -X PATCH -H 'Authorization: [Filtered]' -H 'Content-Type: application/json' -d '{}' http://127.0.0.1:8000/api/v1/environmental/parameters/0/

________________ DELETE /api/v1/environmental/parameters/{id}/ _________________
1. Test Case ID: WbPm3y

- Undocumented HTTP status code

    Received: 404
    Documented: 204

[404] Not Found:

    `{"detail":"No EnvironmentalParameter matches the given query."}`

Reproduce with: 

    curl -X DELETE -H 'Authorization: [Filtered]' http://127.0.0.1:8000/api/v1/environmental/parameters/0/

__________________ GET /api/v1/environmental/readings/recent/ __________________
1. Test Case ID: KjNOr1

- Response violates schema

    [] is not of type 'object'

    Schema:

        {
            "type": "object",
