hall_id,hall_name,station_id,station_name,geography,container_count,active,description
69,F,11,S21 Viðareiði,Faroe Islands,8,True,Imported placeholder from FishTalk
67,Gamalt,11,S21 Viðareiði,Faroe Islands,59,True,Imported placeholder from FishTalk
75,Rogn,11,S21 Viðareiði,Faroe Islands,7,True,Imported placeholder from FishTalk
46,Hall A,8,S24 Strond,Faroe Islands,39,True,Imported placeholder from FishTalk
49,Hall B,8,S24 Strond,Faroe Islands,12,True,Imported placeholder from FishTalk
48,Hall C,8,S24 Strond,Faroe Islands,8,True,Imported placeholder from FishTalk
47,Hall D,8,S24 Strond,Faroe Islands,8,True,Imported placeholder from FishTalk
53,Hall E,8,S24 Strond,Faroe Islands,6,True,Imported placeholder from FishTalk
52,Hall F,8,S24 Strond,Faroe Islands,6,True,Imported placeholder from FishTalk
55,Hall G,8,S24 Strond,Faroe Islands,4,True,Imported placeholder from FishTalk
54,Hall H,8,S24 Strond,Faroe Islands,4,True,Imported placeholder from FishTalk
51,Hall I,8,S24 Strond,Faroe Islands,4,True,Imported placeholder from FishTalk
50,Hall J,8,S24 Strond,Faroe Islands,4,True,Imported placeholder from FishTalk
27,BRS1 Langass Hall,4,BRS1 Langass,Scotland,28,True,Imported placeholder from FishTalk
25,Broodstock,4,BRS1 Langass,Scotland,8,True,Imported placeholder from FishTalk
23,Compatch,4,BRS1 Langass,Scotland,174,True,Imported placeholder from FishTalk
24,Family tanks,4,BRS1 Langass,Scotland,200,True,Imported placeholder from FishTalk
21,Hatchery,4,BRS1 Langass,Scotland,860,True,Imported placeholder from FishTalk
22,Incubators,4,BRS1 Langass,Scotland,600,True,Imported placeholder from FishTalk
26,Zoug,4,BRS1 Langass,Scotland,50,True,Imported placeholder from FishTalk
20,A,3,BRS2 Langass,Scotland,32,True,Imported placeholder from FishTalk
17,B,3,BRS2 Langass,Scotland,600,True,Imported placeholder from FishTalk
19,C,3,BRS2 Langass,Scotland,240,True,Imported placeholder from FishTalk
18,D,3,BRS2 Langass,Scotland,256,True,Imported placeholder from FishTalk
16,E,3,BRS2 Langass,Scotland,200,True,Imported placeholder from FishTalk
15,F,3,BRS2 Langass,Scotland,8,True,Imported placeholder from FishTalk
106,Fry,20,BRS3 Geocrab,Scotland,28,True,Imported placeholder from FishTalk
107,Hatchery,20,BRS3 Geocrab,Scotland,51,True,Imported placeholder from FishTalk
108,Mill,20,BRS3 Geocrab,Scotland,9,True,Imported placeholder from FishTalk
117,Buckieburn Smolt Unit Hall,26,Buckieburn Smolt Unit,Scotland,15,True,Imported placeholder from FishTalk
120,Dunblane Loch Hall,29,Dunblane Loch,Scotland,8,True,Imported placeholder from FishTalk
95,FW11 Barvas Hall,17,FW11 Barvas,Scotland,112,True,Imported placeholder from FishTalk
56,FW12 Amhuinnsuidhe Hall,9,FW12 Amhuinnsuidhe,Scotland,94,True,Imported placeholder from FishTalk
14,FW13 Geocrab Hall,2,FW13 Geocrab,Scotland,1,True,Imported placeholder from FishTalk
12,Fry,2,FW13 Geocrab,Scotland,28,True,Imported placeholder from FishTalk
10,Hatchery,2,FW13 Geocrab,Scotland,63,True,Imported placeholder from FishTalk
11,Parr,2,FW13 Geocrab,Scotland,13,True,Imported placeholder from FishTalk
13,Smolt,2,FW13 Geocrab,Scotland,6,True,Imported placeholder from FishTalk
113,Loch Humavat,24,FW14 Harris Lochs,Scotland,9,True,Imported placeholder from FishTalk
112,Loch Langavat,24,FW14 Harris Lochs,Scotland,17,True,Imported placeholder from FishTalk
87,A row,15,FW21 Couldoran,Scotland,6,True,Imported placeholder from FishTalk
91,B row,15,FW21 Couldoran,Scotland,6,True,Imported placeholder from FishTalk
92,C row,15,FW21 Couldoran,Scotland,4,True,Imported placeholder from FishTalk
89,D row,15,FW21 Couldoran,Scotland,10,True,Imported placeholder from FishTalk
90,E row,15,FW21 Couldoran,Scotland,12,True,Imported placeholder from FishTalk
88,F row,15,FW21 Couldoran,Scotland,12,True,Imported placeholder from FishTalk
86,Hatchery,15,FW21 Couldoran,Scotland,72,True,Imported placeholder from FishTalk
93,RAS,15,FW21 Couldoran,Scotland,10,True,Imported placeholder from FishTalk
31,A1,5,FW22 Applecross,Scotland,80,True,Imported placeholder from FishTalk
28,A2,5,FW22 Applecross,Scotland,96,True,Imported placeholder from FishTalk
30,B1,5,FW22 Applecross,Scotland,8,True,Imported placeholder from FishTalk
32,B2,5,FW22 Applecross,Scotland,8,True,Imported placeholder from FishTalk
29,C1,5,FW22 Applecross,Scotland,8,True,Imported placeholder from FishTalk
35,C2,5,FW22 Applecross,Scotland,8,True,Imported placeholder from FishTalk
34,D1,5,FW22 Applecross,Scotland,7,True,Imported placeholder from FishTalk
36,D2,5,FW22 Applecross,Scotland,4,True,Imported placeholder from FishTalk
33,E1,5,FW22 Applecross,Scotland,4,True,Imported placeholder from FishTalk
37,E2,5,FW22 Applecross,Scotland,4,True,Imported placeholder from FishTalk
84,FW22 Russel Burn Hall,13,FW22 Russel Burn,Scotland,222,True,Imported placeholder from FishTalk
118,FW23 Loch Damph South Hall,27,FW23 Loch Damph South,Scotland,14,True,Imported placeholder from FishTalk
98,Archive,18,FW24 KinlochMoidart,Scotland,14,True,Imported placeholder from FishTalk
97,Hatchery,18,FW24 KinlochMoidart,Scotland,56,True,Imported placeholder from FishTalk
96,Parr,18,FW24 KinlochMoidart,Scotland,12,True,Imported placeholder from FishTalk
100,Smolt (RAS1),18,FW24 KinlochMoidart,Scotland,3,True,Imported placeholder from FishTalk
99,Smolt (RAS2),18,FW24 KinlochMoidart,Scotland,4,True,Imported placeholder from FishTalk
94,HO Hatchery Hall,16,HO Hatchery,Scotland,42,True,Imported placeholder from FishTalk
110,HSU Hall,22,HSU,Scotland,27,True,Imported placeholder from FishTalk
85,Langass old to summer 15 Hall,14,Langass old to summer 15,Scotland,215,True,Imported placeholder from FishTalk
119,Loch Geirean Hall,28,Loch Geirean,Scotland,8,True,Imported placeholder from FishTalk
121,Loch Tormasad Hall,30,Loch Tormasad,Scotland,4,True,Imported placeholder from FishTalk
45,Tullich Hall,7,Tullich,Scotland,276,True,Imported placeholder from FishTalk
